state,first_reform,second_reform,3rd_reform,4th_reform
Alabama,2010,,,
Alaska,2010,,,
Arizona,2010,,,
Arkansas,2010,2011,,
California,2010,2012,,
Colorado,2010,2011,2013,
Connecticut,2001,2005,2010,
Delaware,2003,2010,2011,
Florida,2010,,,
Georgia,2010,2012,2013,
Hawaii,2010,2012,2013,
Idaho,2010,,,
Illinois,2010,2013,,
Indiana,2001,2010,2011,
Iowa,2010,,,
Kansas,2010,,,
Kentucky,2010,2011,,
Louisiana,2001,2010,2012,
Maine,2010,,,
Maryland,2010,,,
Massachusetts,2010,2012,,
Michigan,2002,2010,,
Minnesota,2009,2010,,
Mississippi,2010,,,
Missouri,2010,2012,,
Montana,2010,,,
Nebraska,2010,,,
Nevada,2009,2010,,
New Hampshire,2010,,,
New Jersey,2010,,,
New Mexico,2002,2010,,
New York,2004,2005,2009,2010
North Carolina,2010,,,
North Dakota,2001,2010,,
Ohio,2010,2011,,
Oklahoma,2010,2012,,
Oregon,2001,2010,2013,
Pennsylvania,2010,2011,2012,
Rhode Island,2009,2010,,
South Carolina,2010,,,
South Dakota,2010,,,
Tennessee,2010,,,
Texas,2007,2010,2011,
Utah,2010,,,
Vermont,2010,,,
Virginia,2000,2010,,
Washington,2010,,,
West Virginia,2010,,,
Wisconsin,2010,,,
Wyoming,2010,,,
